ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Color,Airbags
45801231,12231,0,MERCEDES-BENZ,C 230,2004,Sedan,Yes,Petrol,1.8,221000,4,Tiptronic,Rear,Silver,10
45810496,36197,831,CHEVROLET,Orlando,2017,Jeep,Yes,Diesel,1.6,65124,4,Automatic,Front,Grey,4
45776829,14113,0,MERCEDES-BENZ,S 500,2001,Sedan,Yes,Petrol,5,160000,8,Tiptronic,Rear,Black,0
45810042,49058,1091,CHEVROLET,Impala,2016,Sedan,Yes,Petrol,2.5,73148,4,Automatic,Front,Silver,4
39691194,60,0,TOYOTA,Vitz,2002,Sedan,No,Petrol,1.3,100000,4,Automatic,Front,Silver,2
43614346,8154,0,NISSAN,Note,2005,Hatchback,No,Petrol,1.5,178000,4,Automatic,Front,Golden,4
45768679,1725,585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8,188194,4,Automatic,Front,Black,0
41349011,17249,0,TOYOTA,Prius C 2013,2013,Hatchback,No,Hybrid,1.5,110000,4,Automatic,Front,Silver,12
45352861,15681,862,SUBARU,Legacy,2011,Sedan,Yes,Petrol,2.5,179000,6,Tiptronic,4x4,Silver,8
45815359,47,1493,LEXUS,RX 350,2016,Jeep,Yes,Petrol,3.5,65981,6,Automatic,Front,Black,12
45772157,188,1659,TOYOTA,Tundra,2014,Jeep,Yes,Petrol,5.7,101928,8,Automatic,4x4,Black,12
45803123,18211,642,HYUNDAI,Sonata,2012,Sedan,Yes,LPG,2,150000,4,Automatic,Front,Black,4
45797329,8781,0,OPEL,Astra G,2000,Universal,No,Petrol,1.6,279700,4,Manual,Front,Black,4
45783942,5331,0,LAND ROVER,Freelander,1999,Jeep,No,Petrol,1.8,204000,4,Manual,4x4,Carnelian red,4
45792074,1490,1202,JEEP,Cherokee,2017,Jeep,Yes,Petrol,2.4,95334,4,Automatic,Front,Black,12
45656391,8938,586,TOYOTA,Prius,2012,Hatchback,Yes,Hybrid,1.8,323733,4,Automatic,Front,Grey,12
